Trudnik Selenium Full Report
Server: https://trudnik.onrender.com
Time: 2026-06-10 13:35:35
============================================================
[13:27:36] PASS | Login employer -- org@test.ru
[13:27:49] PASS | Login worker -- trud3@test.ru
[13:27:57] PASS | Login wrong password -- Still on login page (expected)
[13:27:57] PASS | Error message shown -- Error text present
[13:28:08] PASS | Login employer -- org@test.ru
[13:28:12] PASS | Logout redirect -- Redirected to login
[13:28:23] PASS | Login worker -- trud3@test.ru
[13:28:26] PASS | Worker on /job/new -- Access blocked
[13:28:39] PASS | Login employer -- org@test.ru
[13:28:42] PASS | Profile page loaded -- OK
[13:28:42] PASS | Field full_name present
[13:28:42] PASS | Field phone present
[13:28:42] PASS | Field contact present
[13:28:42] PASS | Field bio present
[13:28:55] PASS | Login employer -- org@test.ru
[13:29:04] PASS | Profile updated -- OK
[13:29:18] PASS | Login worker -- trud3@test.ru
[13:29:21] PASS | Profile loaded -- OK
[13:29:21] PASS | Field full_name
[13:29:21] PASS | Field phone
[13:29:21] PASS | Field contact
[13:29:21] PASS | Field bio
[13:29:21] PASS | Field city
[13:29:21] PASS | Field experience
[13:29:21] PASS | Field desired_payment
[13:29:37] PASS | Login worker -- trud3@test.ru
[13:29:43] PASS | Contact saved -- telegram: @testuser
[13:29:47] PASS | Contact cleared
[13:30:00] PASS | Login employer -- org@test.ru
[13:30:14] PASS | Job created -- OK
[13:30:27] PASS | Login employer -- org@test.ru
[13:30:41] PASS | Stop words blocked -- Detected and blocked
[13:30:56] PASS | Login employer -- org@test.ru
[13:30:59] PASS | My jobs loaded -- OK
[13:31:12] PASS | Login employer -- org@test.ru
[13:31:15] PASS | Job cancelled -- No open jobs to cancel
[13:31:27] PASS | Login worker -- trud3@test.ru
[13:31:30] PASS | Jobs page loaded -- OK
[13:31:35] PASS | City filter applied -- Navigated to filtered URL
[13:31:38] PASS | Payment filter applied -- Navigated to filtered URL
[13:31:42] PASS | Search API works -- JSON response
[13:31:44] PASS | 404 for bad UUID -- OK
[13:31:56] PASS | Login worker -- trud3@test.ru
[13:31:59] PASS | Applications page loaded -- OK
[13:32:11] PASS | Login employer -- org@test.ru
[13:32:14] PASS | Applications page loaded -- OK
[13:32:27] PASS | Login employer -- org@test.ru
[13:32:30] PASS | Shifts page loaded -- OK
[13:32:45] PASS | Login worker -- trud3@test.ru
[13:32:48] PASS | Shifts page loaded -- OK
[13:33:03] PASS | Login worker -- trud3@test.ru
[13:33:05] PASS | Favorites loaded -- OK
[13:33:18] PASS | Login worker -- trud3@test.ru
[13:33:20] PASS | Blacklist loaded -- OK
[13:33:35] PASS | Login worker -- trud3@test.ru
[13:33:37] PASS | Chat list loaded -- OK
[13:33:50] PASS | Login worker -- trud3@test.ru
[13:33:52] PASS | Notifications loaded -- OK
[13:33:56] PASS | Workers page loaded -- OK
[13:33:59] PASS | City injection blocked -- Only open jobs
[13:34:11] PASS | Login employer -- org@test.ru
[13:34:14] PASS | Admin search sanitized -- Navigated (access may be restricted)
[13:34:30] PASS | Login employer -- org@test.ru
[13:34:43] PASS | Required fields enforced -- Form not submitted
[13:34:55] PASS | Login employer -- org@test.ru
[13:35:10] PASS | Invalid payment rejected -- Negative value handled
[13:35:13] PASS | 404 handled -- OK
[13:35:25] PASS | Login worker -- trud3@test.ru
[13:35:27] PASS | Empty applications -- page loaded
[13:35:30] PASS | Empty shifts -- page loaded
[13:35:32] PASS | Empty chat -- page loaded

Total: 71 passed, 0 failed
