"proname","args","language"
"_postgis_deprecate","oldname text, newname text, version text","plpgsql"
"_postgis_index_extent","tbl regclass, col text","c"
"_postgis_join_selectivity","regclass, text, regclass, text, text DEFAULT '2'::text","c"
"_postgis_pgsql_version","","sql"
"_postgis_scripts_pgsql_version","","sql"
"_postgis_selectivity","tbl regclass, att_name text, geom geometry, mode text DEFAULT '2'::text","c"
"_postgis_stats","tbl regclass, att_name text, text DEFAULT '2'::text","c"
"_st_3ddfullywithin","geom1 geometry, geom2 geometry, double precision","c"
"_st_3ddwithin","geom1 geometry, geom2 geometry, double precision","c"
"_st_3dintersects","geom1 geometry, geom2 geometry","c"
"_st_asgml","integer, geometry, integer, integer, text, text","c"
"_st_asx3d","integer, geometry, integer, integer, text","c"
"_st_bestsrid","geography, geography","c"
"_st_bestsrid","geography","c"
"_st_concavehull","param_inputgeom geometry","plpgsql"
"_st_contains","geom1 geometry, geom2 geometry","c"
"_st_containsproperly","geom1 geometry, geom2 geometry","c"
"_st_coveredby","geom1 geometry, geom2 geometry","c"
"_st_coveredby","geog1 geography, geog2 geography","c"
"_st_covers","geom1 geometry, geom2 geometry","c"
"_st_covers","geog1 geography, geog2 geography","c"
"_st_crosses","geom1 geometry, geom2 geometry","c"
"_st_dfullywithin","geom1 geometry, geom2 geometry, double precision","c"
"_st_distancetree","geography, geography","sql"
"_st_distancetree","geography, geography, double precision, boolean","c"
"_st_distanceuncached","geography, geography","sql"
"_st_distanceuncached","geography, geography, boolean","sql"
"_st_distanceuncached","geography, geography, double precision, boolean","c"
"_st_dwithin","geom1 geometry, geom2 geometry, double precision","c"
"_st_dwithin","geog1 geography, geog2 geography, tolerance double precision, use_spheroid boolean DEFAULT true","c"
"_st_dwithinuncached","geography, geography, double precision, boolean","c"
"_st_dwithinuncached","geography, geography, double precision","sql"
"_st_equals","geom1 geometry, geom2 geometry","c"
"_st_expand","geography, double precision","c"
"_st_geomfromgml","text, integer","c"
"_st_intersects","geom1 geometry, geom2 geometry","c"
"_st_linecrossingdirection","line1 geometry, line2 geometry","c"
"_st_longestline","geom1 geometry, geom2 geometry","c"
"_st_maxdistance","geom1 geometry, geom2 geometry","c"
"_st_orderingequals","geom1 geometry, geom2 geometry","c"
"_st_overlaps","geom1 geometry, geom2 geometry","c"
"_st_pointoutside","geography","c"
"_st_sortablehash","geom geometry","c"
"_st_touches","geom1 geometry, geom2 geometry","c"
"_st_voronoi","g1 geometry, clip geometry DEFAULT NULL::geometry, tolerance double precision DEFAULT 0.0, return_polygons boolean DEFAULT true","c"
"_st_within","geom1 geometry, geom2 geometry","sql"
"accept_application","p_job_id uuid, p_app_id uuid","plpgsql"
"accept_invitation_atomic","p_invitation_id uuid, p_user_id uuid","plpgsql"
"addgeometrycolumn","table_name character varying, column_name character varying, new_srid integer, new_type character varying, new_dim integer, use_typmod boolean DEFAULT true","plpgsql"
"addgeometrycolumn","catalog_name character varying, schema_name character varying, table_name character varying, column_name character varying, new_srid_in integer, new_type character varying, new_dim integer, use_typmod boolean DEFAULT true","plpgsql"
"addgeometrycolumn","schema_name character varying, table_name character varying, column_name character varying, new_srid integer, new_type character varying, new_dim integer, use_typmod boolean DEFAULT true","plpgsql"
"apply_job_atomic","p_job_id uuid, p_worker_id uuid","plpgsql"
"armor","bytea, text[], text[]","c"
"armor","bytea","c"
"box","box3d","c"
"box","geometry","c"
"box2d","geometry","c"
"box2d","box3d","c"
"box2d_in","cstring","c"
"box2d_out","box2d","c"
"box2df_in","cstring","c"
"box2df_out","box2df","c"
"box3d","geometry","c"
"box3d","box2d","c"
"box3d_in","cstring","c"
"box3d_out","box3d","c"
"box3dtobox","box3d","c"
"bytea","geometry","c"
"bytea","geography","c"
"cancel_job_atomic","p_job_id uuid, p_user_id uuid","plpgsql"
"cancel_worker_atomic","p_application_id uuid, p_user_id uuid","plpgsql"
"change_password","p_user_id uuid, p_old_password text, p_new_password text","plpgsql"
"contains_2d","geometry, box2df","sql"
"contains_2d","box2df, geometry","c"
"contains_2d","box2df, box2df","c"
"crypt","text, text","c"
"dearmor","text","c"
"decrypt","bytea, bytea, text","c"
"decrypt_iv","bytea, bytea, bytea, text","c"
"delete_job_cascade","p_job_id uuid","plpgsql"
"delete_user_cascade","p_user_id uuid","plpgsql"
"digest","text, text","c"
"digest","bytea, text","c"
"dropgeometrycolumn","catalog_name character varying, schema_name character varying, table_name character varying, column_name character varying","plpgsql"
"dropgeometrycolumn","table_name character varying, column_name character varying","plpgsql"
"dropgeometrycolumn","schema_name character varying, table_name character varying, column_name character varying","plpgsql"
"dropgeometrytable","table_name character varying","sql"
"dropgeometrytable","catalog_name character varying, schema_name character varying, table_name character varying","plpgsql"
"dropgeometrytable","schema_name character varying, table_name character varying","sql"
"encrypt","bytea, bytea, text","c"
"encrypt_iv","bytea, bytea, bytea, text","c"
"equals","geom1 geometry, geom2 geometry","c"
"exec_sql","sql_query text","plpgsql"
"find_srid","character varying, character varying, character varying","plpgsql"
"force_complete_job","p_job_id uuid, p_user_id uuid","plpgsql"
"gen_random_bytes","integer","c"
"gen_random_uuid","","c"
"gen_salt","text, integer","c"
"gen_salt","text","c"
"geog_brin_inclusion_add_value","internal, internal, internal, internal","c"
"geog_brin_inclusion_merge","internal, internal","c"
"geography","bytea","c"
"geography","geometry","c"
"geography","geography, integer, boolean","c"
"geography_analyze","internal","c"
"geography_cmp","geography, geography","c"
"geography_distance_knn","geography, geography","c"
"geography_eq","geography, geography","c"
