"tablename","indexname","indexdef"
"_archive_contact_payments","_archive_contact_payments_pkey","CREATE UNIQUE INDEX _archive_contact_payments_pkey ON public._archive_contact_payments USING btree (id)"
"applications","applications_pkey","CREATE UNIQUE INDEX applications_pkey ON public.applications USING btree (id)"
"applications","idx_applications_contact_payment_id","CREATE INDEX idx_applications_contact_payment_id ON public.applications USING btree (contact_payment_id)"
"applications","idx_applications_worker_id","CREATE INDEX idx_applications_worker_id ON public.applications USING btree (worker_id)"
"blacklists","blacklists_pkey","CREATE UNIQUE INDEX blacklists_pkey ON public.blacklists USING btree (id)"
"blacklists","idx_blacklists_blocked_user_id","CREATE INDEX idx_blacklists_blocked_user_id ON public.blacklists USING btree (blocked_user_id)"
"contact_payments","contact_payments_pkey","CREATE UNIQUE INDEX contact_payments_pkey ON public.contact_payments USING btree (id)"
"email_log","email_log_pkey","CREATE UNIQUE INDEX email_log_pkey ON public.email_log USING btree (id)"
"email_log","idx_email_log_notification_id","CREATE INDEX idx_email_log_notification_id ON public.email_log USING btree (notification_id)"
"email_log","idx_email_log_user_id","CREATE INDEX idx_email_log_user_id ON public.email_log USING btree (user_id)"
"employer_details","employer_details_pkey","CREATE UNIQUE INDEX employer_details_pkey ON public.employer_details USING btree (id)"
"favorites","favorites_pkey","CREATE UNIQUE INDEX favorites_pkey ON public.favorites USING btree (id)"
"favorites","idx_favorites_type","CREATE INDEX idx_favorites_type ON public.favorites USING btree (favorite_type)"
"invitations","idx_invitations_employer","CREATE INDEX idx_invitations_employer ON public.invitations USING btree (employer_id)"
"invitations","idx_invitations_job","CREATE INDEX idx_invitations_job ON public.invitations USING btree (job_id)"
"invitations","idx_invitations_worker","CREATE INDEX idx_invitations_worker ON public.invitations USING btree (worker_id)"
"invitations","invitations_pkey","CREATE UNIQUE INDEX invitations_pkey ON public.invitations USING btree (id)"
"job_favorites","idx_job_favorites_job_id","CREATE INDEX idx_job_favorites_job_id ON public.job_favorites USING btree (job_id)"
"job_favorites","job_favorites_pkey","CREATE UNIQUE INDEX job_favorites_pkey ON public.job_favorites USING btree (id)"
"job_payments","idx_job_payments_employer","CREATE INDEX idx_job_payments_employer ON public.job_payments USING btree (employer_id)"
"job_payments","idx_job_payments_job","CREATE INDEX idx_job_payments_job ON public.job_payments USING btree (job_id)"
"job_payments","idx_job_payments_paid_unique","CREATE UNIQUE INDEX idx_job_payments_paid_unique ON public.job_payments USING btree (job_id) WHERE (status = 'paid'::text)"
"job_payments","job_payments_pkey","CREATE UNIQUE INDEX job_payments_pkey ON public.job_payments USING btree (id)"
"job_photos","idx_job_photos_job_id","CREATE INDEX idx_job_photos_job_id ON public.job_photos USING btree (job_id)"
"job_photos","job_photos_pkey","CREATE UNIQUE INDEX job_photos_pkey ON public.job_photos USING btree (id)"
"job_skills","idx_job_skills_skill_id","CREATE INDEX idx_job_skills_skill_id ON public.job_skills USING btree (skill_id)"
"job_skills","job_skills_pkey","CREATE UNIQUE INDEX job_skills_pkey ON public.job_skills USING btree (job_id, skill_id)"
"jobs","idx_jobs_current_workers","CREATE INDEX idx_jobs_current_workers ON public.jobs USING btree (current_workers)"
"jobs","idx_jobs_employer_id","CREATE INDEX idx_jobs_employer_id ON public.jobs USING btree (employer_id)"
"jobs","idx_jobs_expires","CREATE INDEX idx_jobs_expires ON public.jobs USING btree (expires_at) WHERE (status = 'open'::text)"
"jobs","idx_jobs_search","CREATE INDEX idx_jobs_search ON public.jobs USING gin (search_vector)"
"jobs","idx_jobs_status","CREATE INDEX idx_jobs_status ON public.jobs USING btree (status)"
"jobs","idx_jobs_status_and_workers","CREATE INDEX idx_jobs_status_and_workers ON public.jobs USING btree (status, current_workers, max_workers)"
"jobs","jobs_pkey","CREATE UNIQUE INDEX jobs_pkey ON public.jobs USING btree (id)"
"messages","idx_messages_application_id","CREATE INDEX idx_messages_application_id ON public.messages USING btree (application_id)"
"messages","idx_messages_sender_id","CREATE INDEX idx_messages_sender_id ON public.messages USING btree (sender_id)"
"messages","messages_pkey","CREATE UNIQUE INDEX messages_pkey ON public.messages USING btree (id)"
"monetization_settings","monetization_settings_key_key","CREATE UNIQUE INDEX monetization_settings_key_key ON public.monetization_settings USING btree (key)"
"monetization_settings","monetization_settings_pkey","CREATE UNIQUE INDEX monetization_settings_pkey ON public.monetization_settings USING btree (id)"
"notifications","idx_notifications_application_id","CREATE INDEX idx_notifications_application_id ON public.notifications USING btree (application_id)"
"notifications","idx_notifications_created","CREATE INDEX idx_notifications_created ON public.notifications USING btree (created_at)"
"notifications","idx_notifications_job_id","CREATE INDEX idx_notifications_job_id ON public.notifications USING btree (job_id)"
"notifications","idx_notifications_read","CREATE INDEX idx_notifications_read ON public.notifications USING btree (is_read)"
"notifications","idx_notifications_user","CREATE INDEX idx_notifications_user ON public.notifications USING btree (user_id)"
"notifications","notifications_pkey","CREATE UNIQUE INDEX notifications_pkey ON public.notifications USING btree (id)"
"profiles","idx_profiles_email","CREATE UNIQUE INDEX idx_profiles_email ON public.profiles USING btree (email)"
"profiles","idx_profiles_search","CREATE INDEX idx_profiles_search ON public.profiles USING gin (search_vector)"
"profiles","profiles_pkey","CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)"
"push_subscriptions","idx_push_subscriptions_user_id","CREATE INDEX idx_push_subscriptions_user_id ON public.push_subscriptions USING btree (user_id)"
"push_subscriptions","push_subscriptions_pkey","CREATE UNIQUE INDEX push_subscriptions_pkey ON public.push_subscriptions USING btree (id)"
"ratings","idx_ratings_job","CREATE INDEX idx_ratings_job ON public.ratings USING btree (job_id)"
"ratings","idx_ratings_rated_user","CREATE INDEX idx_ratings_rated_user ON public.ratings USING btree (rated_user_id)"
"ratings","idx_ratings_rater_user","CREATE INDEX idx_ratings_rater_user ON public.ratings USING btree (rater_user_id)"
"ratings","ratings_pkey","CREATE UNIQUE INDEX ratings_pkey ON public.ratings USING btree (id)"
"receipts","receipts_pkey","CREATE UNIQUE INDEX receipts_pkey ON public.receipts USING btree (id)"
"religions","idx_religions_sort","CREATE INDEX idx_religions_sort ON public.religions USING btree (sort_order, name)"
"religions","religions_name_key","CREATE UNIQUE INDEX religions_name_key ON public.religions USING btree (name)"
"religions","religions_pkey","CREATE UNIQUE INDEX religions_pkey ON public.religions USING btree (id)"
"schema_migrations","schema_migrations_pkey","CREATE UNIQUE INDEX schema_migrations_pkey ON public.schema_migrations USING btree (version)"
"skills","idx_skills_sort","CREATE INDEX idx_skills_sort ON public.skills USING btree (sort_order, name)"
"skills","skills_name_key","CREATE UNIQUE INDEX skills_name_key ON public.skills USING btree (name)"
"skills","skills_pkey","CREATE UNIQUE INDEX skills_pkey ON public.skills USING btree (id)"
"spatial_ref_sys","spatial_ref_sys_pkey","CREATE UNIQUE INDEX spatial_ref_sys_pkey ON public.spatial_ref_sys USING btree (srid)"
"tariff_settings","tariff_settings_pkey","CREATE UNIQUE INDEX tariff_settings_pkey ON public.tariff_settings USING btree (id)"
"tariff_settings","tariff_settings_tariff_key_key","CREATE UNIQUE INDEX tariff_settings_tariff_key_key ON public.tariff_settings USING btree (tariff_key)"
"user_skills","idx_user_skills_skill_id","CREATE INDEX idx_user_skills_skill_id ON public.user_skills USING btree (skill_id)"
"user_skills","user_skills_pkey","CREATE UNIQUE INDEX user_skills_pkey ON public.user_skills USING btree (user_id, skill_id)"
