"table_name","column_name","data_type","character_maximum_length","is_nullable","column_default","udt_name"
"_archive_contact_payments","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"_archive_contact_payments","employer_id","uuid",NULL,"NO",NULL,"uuid"
"_archive_contact_payments","worker_id","uuid",NULL,"NO",NULL,"uuid"
"_archive_contact_payments","job_id","uuid",NULL,"NO",NULL,"uuid"
"_archive_contact_payments","application_id","uuid",NULL,"YES",NULL,"uuid"
"_archive_contact_payments","amount","integer",NULL,"NO","290","int4"
"_archive_contact_payments","status","text",NULL,"NO","'pending'::text","text"
"_archive_contact_payments","transaction_id","text",NULL,"YES","''::text","text"
"_archive_contact_payments","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"_archive_contact_payments","paid_at","timestamp with time zone",NULL,"YES",NULL,"timestamptz"
"applications","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"applications","job_id","uuid",NULL,"NO",NULL,"uuid"
"applications","worker_id","uuid",NULL,"NO",NULL,"uuid"
"applications","status","text",NULL,"YES","'pending'::text","text"
"applications","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"applications","message","text",NULL,"YES","''::text","text"
"applications","contact_paid","boolean",NULL,"YES","false","bool"
"applications","contact_payment_id","uuid",NULL,"YES",NULL,"uuid"
"blacklists","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"blacklists","user_id","uuid",NULL,"NO",NULL,"uuid"
"blacklists","blocked_user_id","uuid",NULL,"NO",NULL,"uuid"
"blacklists","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"contact_payments","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"contact_payments","employer_id","uuid",NULL,"NO",NULL,"uuid"
"contact_payments","worker_id","uuid",NULL,"NO",NULL,"uuid"
"contact_payments","job_id","uuid",NULL,"NO",NULL,"uuid"
"contact_payments","application_id","uuid",NULL,"YES",NULL,"uuid"
"contact_payments","amount","integer",NULL,"NO","290","int4"
"contact_payments","status","text",NULL,"NO","'pending'::text","text"
"contact_payments","transaction_id","text",NULL,"YES","''::text","text"
"contact_payments","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"contact_payments","paid_at","timestamp with time zone",NULL,"YES",NULL,"timestamptz"
"email_log","id","bigint",NULL,"NO","nextval('email_log_id_seq'::regclass)","int8"
"email_log","notification_id","uuid",NULL,"YES",NULL,"uuid"
"email_log","recipient","text",NULL,"NO",NULL,"text"
"email_log","subject","text",NULL,"YES","''::text","text"
"email_log","status","text",NULL,"YES","'pending'::text","text"
"email_log","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"email_log","attempts","integer",NULL,"YES","0","int4"
"email_log","last_attempt_at","timestamp with time zone",NULL,"YES",NULL,"timestamptz"
"email_log","error","text",NULL,"YES",NULL,"text"
"email_log","user_id","uuid",NULL,"YES",NULL,"uuid"
"email_log","to_email","text",NULL,"YES",NULL,"text"
"email_log","template_name","character varying",100,"YES",NULL,"varchar"
"email_log","sent_at","timestamp with time zone",NULL,"YES",NULL,"timestamptz"
"email_log","error_message","text",NULL,"YES",NULL,"text"
"employer_details","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"employer_details","user_id","uuid",NULL,"YES",NULL,"uuid"
"employer_details","name","text",NULL,"YES","''::text","text"
"employer_details","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"employer_details","description","text",NULL,"YES","''::text","text"
"employer_details","address","text",NULL,"YES","''::text","text"
"employer_details","city","text",NULL,"YES","''::text","text"
"employer_details","lat","double precision",NULL,"YES",NULL,"float8"
"employer_details","lng","double precision",NULL,"YES",NULL,"float8"
"employer_details","company_name","character varying",255,"YES",NULL,"varchar"
"employer_details","inn","character varying",12,"YES",NULL,"varchar"
"employer_details","is_self_employed","boolean",NULL,"YES","false","bool"
"favorites","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"favorites","user_id","uuid",NULL,"NO",NULL,"uuid"
"favorites","target_id","uuid",NULL,"NO",NULL,"uuid"
"favorites","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"favorites","favorite_type","text",NULL,"YES","'worker'::text","text"
"invitations","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"invitations","employer_id","uuid",NULL,"NO",NULL,"uuid"
"invitations","worker_id","uuid",NULL,"NO",NULL,"uuid"
"invitations","job_id","uuid",NULL,"YES",NULL,"uuid"
"invitations","message","text",NULL,"YES","''::text","text"
"invitations","status","text",NULL,"YES","'pending'::text","text"
"invitations","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"invitations","responded_at","timestamp with time zone",NULL,"YES",NULL,"timestamptz"
"job_favorites","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
