"function_name","return_type","arguments","schema"
"_postgis_deprecate","void","oldname text, newname text, version text","public"
"_postgis_index_extent","box2d","tbl regclass, col text","public"
"_postgis_join_selectivity","double precision","regclass, text, regclass, text, text DEFAULT '2'::text","public"
"_postgis_pgsql_version","text","","public"
"_postgis_scripts_pgsql_version","text","","public"
"_postgis_selectivity","double precision","tbl regclass, att_name text, geom geometry, mode text DEFAULT '2'::text","public"
"_postgis_stats","text","tbl regclass, att_name text, text DEFAULT '2'::text","public"
"_st_3ddfullywithin","boolean","geom1 geometry, geom2 geometry, double precision","public"
"_st_3ddwithin","boolean","geom1 geometry, geom2 geometry, double precision","public"
"_st_3dintersects","boolean","geom1 geometry, geom2 geometry","public"
"_st_asgml","text","integer, geometry, integer, integer, text, text","public"
"_st_asx3d","text","integer, geometry, integer, integer, text","public"
"_st_bestsrid","integer","geography","public"
"_st_bestsrid","integer","geography, geography","public"
"_st_concavehull","geometry","param_inputgeom geometry","public"
"_st_contains","boolean","geom1 geometry, geom2 geometry","public"
"_st_containsproperly","boolean","geom1 geometry, geom2 geometry","public"
"_st_coveredby","boolean","geom1 geometry, geom2 geometry","public"
"_st_coveredby","boolean","geog1 geography, geog2 geography","public"
"_st_covers","boolean","geog1 geography, geog2 geography","public"
"_st_covers","boolean","geom1 geometry, geom2 geometry","public"
"_st_crosses","boolean","geom1 geometry, geom2 geometry","public"
"_st_dfullywithin","boolean","geom1 geometry, geom2 geometry, double precision","public"
"_st_distancetree","double precision","geography, geography","public"
"_st_distancetree","double precision","geography, geography, double precision, boolean","public"
"_st_distanceuncached","double precision","geography, geography, boolean","public"
"_st_distanceuncached","double precision","geography, geography, double precision, boolean","public"
"_st_distanceuncached","double precision","geography, geography","public"
"_st_dwithin","boolean","geog1 geography, geog2 geography, tolerance double precision, use_spheroid boolean DEFAULT true","public"
"_st_dwithin","boolean","geom1 geometry, geom2 geometry, double precision","public"
"_st_dwithinuncached","boolean","geography, geography, double precision","public"
"_st_dwithinuncached","boolean","geography, geography, double precision, boolean","public"
"_st_equals","boolean","geom1 geometry, geom2 geometry","public"
"_st_expand","geography","geography, double precision","public"
"_st_geomfromgml","geometry","text, integer","public"
"_st_intersects","boolean","geom1 geometry, geom2 geometry","public"
"_st_linecrossingdirection","integer","line1 geometry, line2 geometry","public"
"_st_longestline","geometry","geom1 geometry, geom2 geometry","public"
"_st_maxdistance","double precision","geom1 geometry, geom2 geometry","public"
"_st_orderingequals","boolean","geom1 geometry, geom2 geometry","public"
"_st_overlaps","boolean","geom1 geometry, geom2 geometry","public"
"_st_pointoutside","geography","geography","public"
"_st_sortablehash","bigint","geom geometry","public"
"_st_touches","boolean","geom1 geometry, geom2 geometry","public"
