"table_name","constraint_name","constraint_type","column_name","foreign_table_name","foreign_column_name","update_rule","delete_rule"
"_archive_contact_payments","_archive_contact_payments_pkey","PRIMARY KEY","id","_archive_contact_payments","id",NULL,NULL
"_archive_contact_payments","2200_17914_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"_archive_contact_payments","2200_17914_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"_archive_contact_payments","2200_17914_3_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"_archive_contact_payments","2200_17914_4_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"_archive_contact_payments","2200_17914_6_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"_archive_contact_payments","2200_17914_7_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"applications","applications_pkey","PRIMARY KEY","id","applications","id",NULL,NULL
"applications","fk_applications_job_id","FOREIGN KEY","job_id","jobs","id","NO ACTION","CASCADE"
"applications","fk_applications_worker_id","FOREIGN KEY","worker_id","profiles","id","NO ACTION","CASCADE"
"applications","2200_17620_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"applications","2200_17620_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"applications","2200_17620_3_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"applications","applications_status_check","CHECK",NULL,"applications","status",NULL,NULL
"blacklists","blacklists_pkey","PRIMARY KEY","id","blacklists","id",NULL,NULL
"blacklists","fk_blacklists_blocked_user_id","FOREIGN KEY","blocked_user_id","profiles","id","NO ACTION","CASCADE"
"blacklists","fk_blacklists_user_id","FOREIGN KEY","user_id","profiles","id","NO ACTION","CASCADE"
"blacklists","2200_17647_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"blacklists","2200_17647_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"blacklists","2200_17647_3_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"contact_payments","contact_payments_pkey","PRIMARY KEY","id","contact_payments","id",NULL,NULL
"contact_payments","2200_17832_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"contact_payments","2200_17832_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"contact_payments","2200_17832_3_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"contact_payments","2200_17832_4_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"contact_payments","2200_17832_6_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"contact_payments","2200_17832_7_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"email_log","email_log_pkey","PRIMARY KEY","id","email_log","id",NULL,NULL
"email_log","fk_email_log_notification_id","FOREIGN KEY","notification_id","notifications","id","NO ACTION","SET NULL"
"email_log","fk_email_log_user_id","FOREIGN KEY","user_id","profiles","id","NO ACTION","CASCADE"
"email_log","2200_17878_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"email_log","2200_17878_3_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"employer_details","employer_details_pkey","PRIMARY KEY","id","employer_details","id",NULL,NULL
"employer_details","fk_employer_details_user_id","FOREIGN KEY","user_id","profiles","id","NO ACTION","CASCADE"
"employer_details","2200_17654_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"favorites","favorites_pkey","PRIMARY KEY","id","favorites","id",NULL,NULL
"favorites","fk_favorites_target_id","FOREIGN KEY","target_id","profiles","id","NO ACTION","CASCADE"
"favorites","fk_favorites_user_id","FOREIGN KEY","user_id","profiles","id","NO ACTION","CASCADE"
"favorites","2200_17640_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"favorites","2200_17640_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"favorites","2200_17640_3_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"invitations","invitations_pkey","PRIMARY KEY","id","invitations","id",NULL,NULL
"invitations","fk_invitations_job_id","FOREIGN KEY","job_id","jobs","id","NO ACTION","CASCADE"
"invitations","2200_17789_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"invitations","2200_17789_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"invitations","2200_17789_3_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"invitations","invitations_status_check","CHECK",NULL,"invitations","status",NULL,NULL
"job_favorites","job_favorites_pkey","PRIMARY KEY","id","job_favorites","id",NULL,NULL
"job_favorites","fk_job_favorites_job_id","FOREIGN KEY","job_id","jobs","id","NO ACTION","CASCADE"
"job_favorites","fk_job_favorites_user_id","FOREIGN KEY","user_id","profiles","id","NO ACTION","CASCADE"
"job_favorites","2200_17674_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"job_favorites","2200_17674_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"job_favorites","2200_17674_3_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"job_payments","job_payments_pkey","PRIMARY KEY","id","job_payments","id",NULL,NULL
"job_payments","fk_job_payments_job_id","FOREIGN KEY","job_id","jobs","id","NO ACTION","CASCADE"
"job_payments","2200_17800_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"job_payments","2200_17800_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"job_payments","2200_17800_3_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"job_photos","job_photos_pkey","PRIMARY KEY","id","job_photos","id",NULL,NULL
"job_photos","fk_job_photos_job_id","FOREIGN KEY","job_id","jobs","id","NO ACTION","CASCADE"
"job_photos","2200_17664_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"job_photos","2200_17664_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"job_skills","job_skills_pkey","PRIMARY KEY","skill_id","job_skills","skill_id",NULL,NULL
"job_skills","job_skills_pkey","PRIMARY KEY","skill_id","job_skills","job_id",NULL,NULL
"job_skills","job_skills_pkey","PRIMARY KEY","job_id","job_skills","skill_id",NULL,NULL
"job_skills","job_skills_pkey","PRIMARY KEY","job_id","job_skills","job_id",NULL,NULL
"job_skills","fk_job_skills_job_id","FOREIGN KEY","job_id","jobs","id","NO ACTION","CASCADE"
"job_skills","fk_job_skills_skill_id","FOREIGN KEY","skill_id","skills","id","NO ACTION","CASCADE"
"job_skills","job_skills_job_id_fkey","FOREIGN KEY","job_id","jobs","id","NO ACTION","CASCADE"
"job_skills","job_skills_skill_id_fkey","FOREIGN KEY","skill_id","skills","id","NO ACTION","CASCADE"
"job_skills","2200_17774_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"job_skills","2200_17774_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"jobs","jobs_pkey","PRIMARY KEY","id","jobs","id",NULL,NULL
"jobs","fk_jobs_employer_id","FOREIGN KEY","employer_id","profiles","id","NO ACTION","CASCADE"
"jobs","2200_17606_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"jobs","2200_17606_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"jobs","2200_17606_3_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"jobs","jobs_current_workers_check","CHECK",NULL,"jobs","max_workers",NULL,NULL
"jobs","jobs_current_workers_check","CHECK",NULL,"jobs","current_workers",NULL,NULL
"jobs","jobs_max_workers_check","CHECK",NULL,"jobs","max_workers",NULL,NULL
"jobs","jobs_status_check","CHECK",NULL,"jobs","status",NULL,NULL
"messages","messages_pkey","PRIMARY KEY","id","messages","id",NULL,NULL
"messages","fk_messages_application_id","FOREIGN KEY","application_id","applications","id","NO ACTION","CASCADE"
"messages","fk_messages_sender_id","FOREIGN KEY","sender_id","profiles","id","NO ACTION","CASCADE"
"messages","2200_17631_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"messages","2200_17631_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"monetization_settings","monetization_settings_key_key","UNIQUE","key","monetization_settings","key",NULL,NULL
"monetization_settings","monetization_settings_pkey","PRIMARY KEY","id","monetization_settings","id",NULL,NULL
"monetization_settings","2200_17822_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"monetization_settings","2200_17822_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"monetization_settings","2200_17822_3_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"notifications","notifications_pkey","PRIMARY KEY","id","notifications","id",NULL,NULL
"notifications","fk_notifications_application_id","FOREIGN KEY","application_id","applications","id","NO ACTION","SET NULL"
"notifications","fk_notifications_job_id","FOREIGN KEY","job_id","jobs","id","NO ACTION","SET NULL"
"notifications","fk_notifications_user_id","FOREIGN KEY","user_id","profiles","id","NO ACTION","CASCADE"
"notifications","notifications_user_id_fkey","FOREIGN KEY","user_id","profiles","id","NO ACTION","CASCADE"
"notifications","2200_17681_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"notifications","2200_17681_2_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"notifications","2200_17681_3_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"profiles","profiles_pkey","PRIMARY KEY","id","profiles","id",NULL,NULL
"profiles","fk_profiles_religion_id","FOREIGN KEY","religion_id","religions","id","NO ACTION","SET NULL"
"profiles","2200_17595_1_not_null","CHECK",NULL,NULL,NULL,NULL,NULL
"push_subscriptions","push_subscriptions_pkey","PRIMARY KEY","id","push_subscriptions","id",NULL,NULL
