"schemaname","tablename","policyname","permissive","roles","cmd","qual","with_check"
"public","_archive_contact_payments","contact_payments_insert","PERMISSIVE","{public}","INSERT",NULL,"((current_setting('request.jwt.claim.user_id'::text, true))::uuid = employer_id)"
"public","_archive_contact_payments","contact_payments_select","PERMISSIVE","{public}","SELECT","(((current_setting('request.jwt.claim.user_id'::text, true))::uuid = employer_id) OR ((current_setting('request.jwt.claim.user_id'::text, true))::uuid = worker_id))",NULL
"public","_archive_contact_payments","contact_payments_update","PERMISSIVE","{public}","UPDATE","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = employer_id)",NULL
"public","applications","Users can delete own applications","PERMISSIVE","{public}","DELETE","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = worker_id)",NULL
"public","applications","Users can insert applications","PERMISSIVE","{public}","INSERT",NULL,"((current_setting('request.jwt.claim.user_id'::text, true))::uuid = worker_id)"
"public","applications","Users can update own applications","PERMISSIVE","{public}","UPDATE","(((current_setting('request.jwt.claim.user_id'::text, true))::uuid = worker_id) OR (EXISTS ( SELECT 1
   FROM jobs
  WHERE ((jobs.id = applications.job_id) AND (jobs.employer_id = (current_setting('request.jwt.claim.user_id'::text, true))::uuid)))))",NULL
"public","applications","Users can view own applications","PERMISSIVE","{public}","SELECT","(((current_setting('request.jwt.claim.user_id'::text, true))::uuid = worker_id) OR ((current_setting('request.jwt.claim.user_id'::text, true))::uuid IN ( SELECT jobs.employer_id
   FROM jobs
  WHERE (jobs.id = applications.job_id))))",NULL
"public","blacklists","Users can delete their own blacklists","PERMISSIVE","{public}","DELETE","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = user_id)",NULL
"public","blacklists","Users can insert blacklists","PERMISSIVE","{public}","INSERT",NULL,"((current_setting('request.jwt.claim.user_id'::text, true))::uuid = user_id)"
"public","blacklists","Users can read their own blacklists","PERMISSIVE","{public}","SELECT","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = user_id)",NULL
"public","email_log","Service can insert email logs","PERMISSIVE","{public}","INSERT",NULL,"true"
"public","email_log","Users can view own email logs","PERMISSIVE","{public}","SELECT","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = user_id)",NULL
"public","employer_details","employer_details_insert_policy","PERMISSIVE","{public}","INSERT",NULL,"((current_setting('request.jwt.claim.user_id'::text, true))::uuid = user_id)"
"public","employer_details","employer_details_select_policy","PERMISSIVE","{public}","SELECT","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = user_id)",NULL
