"table_name","indexname","indexdef"
"applications","idx_applications_contact_payment_id","CREATE INDEX idx_applications_contact_payment_id ON public.applications USING btree (contact_payment_id)"
"applications","idx_applications_worker_id","CREATE INDEX idx_applications_worker_id ON public.applications USING btree (worker_id)"
"blacklists","idx_blacklists_blocked_user_id","CREATE INDEX idx_blacklists_blocked_user_id ON public.blacklists USING btree (blocked_user_id)"
"email_log","idx_email_log_notification_id","CREATE INDEX idx_email_log_notification_id ON public.email_log USING btree (notification_id)"
"email_log","idx_email_log_user_id","CREATE INDEX idx_email_log_user_id ON public.email_log USING btree (user_id)"
"favorites","idx_favorites_target_id","CREATE INDEX idx_favorites_target_id ON public.favorites USING btree (target_id)"
"favorites","idx_favorites_type","CREATE INDEX idx_favorites_type ON public.favorites USING btree (favorite_type)"
"invitations","idx_invitations_employer","CREATE INDEX idx_invitations_employer ON public.invitations USING btree (employer_id)"
"invitations","idx_invitations_job","CREATE INDEX idx_invitations_job ON public.invitations USING btree (job_id)"
"invitations","idx_invitations_worker","CREATE INDEX idx_invitations_worker ON public.invitations USING btree (worker_id)"
"job_favorites","idx_job_favorites_job_id","CREATE INDEX idx_job_favorites_job_id ON public.job_favorites USING btree (job_id)"
"job_payments","idx_job_payments_employer","CREATE INDEX idx_job_payments_employer ON public.job_payments USING btree (employer_id)"
"job_payments","idx_job_payments_job","CREATE INDEX idx_job_payments_job ON public.job_payments USING btree (job_id)"
"job_payments","idx_job_payments_paid_unique","CREATE UNIQUE INDEX idx_job_payments_paid_unique ON public.job_payments USING btree (job_id) WHERE (status = 'paid'::text)"
"job_photos","idx_job_photos_job_id","CREATE INDEX idx_job_photos_job_id ON public.job_photos USING btree (job_id)"
"job_skills","idx_job_skills_skill_id","CREATE INDEX idx_job_skills_skill_id ON public.job_skills USING btree (skill_id)"
"jobs","idx_jobs_current_workers","CREATE INDEX idx_jobs_current_workers ON public.jobs USING btree (current_workers)"
"jobs","idx_jobs_employer_id","CREATE INDEX idx_jobs_employer_id ON public.jobs USING btree (employer_id)"
"jobs","idx_jobs_expires","CREATE INDEX idx_jobs_expires ON public.jobs USING btree (expires_at) WHERE (status = 'open'::text)"
"jobs","idx_jobs_search","CREATE INDEX idx_jobs_search ON public.jobs USING gin (search_vector)"
"jobs","idx_jobs_status","CREATE INDEX idx_jobs_status ON public.jobs USING btree (status)"
"jobs","idx_jobs_status_and_workers","CREATE INDEX idx_jobs_status_and_workers ON public.jobs USING btree (status, current_workers, max_workers)"
"messages","idx_messages_application_id","CREATE INDEX idx_messages_application_id ON public.messages USING btree (application_id)"
"messages","idx_messages_sender_id","CREATE INDEX idx_messages_sender_id ON public.messages USING btree (sender_id)"
"notifications","idx_notifications_application_id","CREATE INDEX idx_notifications_application_id ON public.notifications USING btree (application_id)"
"notifications","idx_notifications_created","CREATE INDEX idx_notifications_created ON public.notifications USING btree (created_at)"
"notifications","idx_notifications_job_id","CREATE INDEX idx_notifications_job_id ON public.notifications USING btree (job_id)"
"notifications","idx_notifications_read","CREATE INDEX idx_notifications_read ON public.notifications USING btree (is_read)"
"notifications","idx_notifications_user","CREATE INDEX idx_notifications_user ON public.notifications USING btree (user_id)"
"profiles","idx_profiles_email","CREATE UNIQUE INDEX idx_profiles_email ON public.profiles USING btree (email)"
"profiles","idx_profiles_search","CREATE INDEX idx_profiles_search ON public.profiles USING gin (search_vector)"
"push_subscriptions","idx_push_subscriptions_user_id","CREATE INDEX idx_push_subscriptions_user_id ON public.push_subscriptions USING btree (user_id)"
"ratings","idx_ratings_job","CREATE INDEX idx_ratings_job ON public.ratings USING btree (job_id)"
"ratings","idx_ratings_rated_user","CREATE INDEX idx_ratings_rated_user ON public.ratings USING btree (rated_user_id)"
"ratings","idx_ratings_rater_user","CREATE INDEX idx_ratings_rater_user ON public.ratings USING btree (rater_user_id)"
"religions","idx_religions_sort","CREATE INDEX idx_religions_sort ON public.religions USING btree (sort_order, name)"
"skills","idx_skills_sort","CREATE INDEX idx_skills_sort ON public.skills USING btree (sort_order, name)"
"user_skills","idx_user_skills_skill_id","CREATE INDEX idx_user_skills_skill_id ON public.user_skills USING btree (skill_id)"
